Energy,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
Hydro,31.9,29.1,30.2,31,31.9,31.2,32.9,32.6,32.7,31.9,31.8,28.4,28.7,27.6,
Wind,12.5,20.1,29.9,39.6,50.8,81.8,126.1,176.7,224.2,297.7,365.7,434.8,479.2,554.3,
Solar,0.1,0.1,0.1,0.5,3.6,14.3,48.2,100.6,184.7,227.3,247.9,262.5,265.4,282.7,
Solid biofuels,44.1,82.5,120.9,156.3,213.6,228.5,249.7,268.8,316.8,288.5,226.3,305.6,291.4,328.2,
All other renewables,45.20,54.20,70.50,67.20,72.60,111.10,122.70,135.30,130.50,140.00,154.20,168.00,162.30,161.00,
Total renewables,133.70,186.00,251.60,294.70,372.40,466.90,579.50,714.00,888.90,985.50,1025.80,1199.30,1227.00,1353.70,
Total energy,7921.70,7911.70,8126.00,8109.00,8098.00,7564.10,8115.50,7872.00,7872.50,7893.80,7661.70,7716.90,7789.50,7853.60,
Renewable percentage,0.02,0.02,0.03,0.04,0.05,0.06,0.07,0.09,0.11,0.12,0.13,0.16,0.16,0.17,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
41.868,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
11.63,,,,,,,,,,,,,,,
39.68,,,,,,,,,,,,,,,
