GDP,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,7.185,8.052,8.905,10.675,12.901,12.093,11.938,12.896,12.323,12.804,13.219,11.364,11.868,13.055
Austria,301.22,316.486,336.279,389.23,432.334,401.187,392.623,431.515,409.652,430.203,442.698,381.998,394.215,417.672
Belgium,371.275,387.994,410.155,472.475,521.084,485.783,484.45,527.492,498.161,521.09,531.651,456.067,469.931,495.757
Bulgaria,25.958,29.636,34.131,44.41,54.408,51.885,50.611,57.42,53.901,55.557,56.815,50.201,53.236,58.335
Croatia,41.523,45.347,50.387,60.11,70.465,62.712,59.866,62.399,56.549,58.158,57.683,49.519,51.623,55.201
Cyprus,17.328,18.713,20.422,24.082,27.972,26.008,25.608,27.454,25.055,24.094,23.401,19.691,20.461,22.186
Czechia,119.162,136.281,155.464,189.032,236.031,206.303,207.478,227.948,207.376,209.402,207.818,186.83,195.09,215.914
Denmark,251.375,264.467,282.886,319.424,353.359,321.243,321.995,344.003,327.149,343.584,352.994,302.673,311.988,329.866
Estonia,12.071,14.025,16.987,22.264,24.285,19.712,19.536,23.191,23.057,25.145,26.658,22.916,23.994,26.665
Finland,196.975,204.767,216.733,255.739,285.087,252.137,248.262,273.925,256.849,270.065,273.042,232.582,239.15,252.809
France,2117.964,2199.684,2320.53,2660.897,2932.215,2697.044,2647.537,2864.03,2685.311,2811.957,2856.697,2439.435,2466.152,2587.682
Germany,2822.205,2866.046,3004.953,3444.723,3770.15,3426.672,3423.466,3761.142,3545.946,3753.687,3904.921,3383.091,3496.606,3700.613
Greece,240.774,248.184,273.547,318.94,356.14,330.837,299.919,288.062,245.807,239.937,237.406,196.69,195.303,203.493
Hungary,104.067,113.035,115.295,139.851,157.998,130.594,130.923,140.782,127.857,135.221,140.083,123.074,126.008,139.761
Iceland,13.835,16.813,17.216,21.515,17.905,13.165,13.684,15.159,14.724,16.034,17.758,17.389,20.618,24.493
Ireland,194.065,211.989,232.296,270.3,276.335,236.901,222.533,238.088,225.14,238.708,259.2,290.858,301.968,331.597
Italy,1800.203,1855.663,1944.257,2206.109,2402.06,2190.702,2129.021,2278.376,2073.971,2131.159,2155.151,1833.195,1869.973,1946.888
Kosovo,3.62,3.74,3.918,4.743,5.714,5.668,5.841,6.699,6.503,7.075,7.398,6.444,6.717,7.242
Latvia,14.377,16.949,21.466,30.946,35.763,26.238,23.809,28.496,28.141,30.26,31.385,26.986,27.707,30.524
Lithuania,22.647,26.182,30.235,39.787,48.125,37.533,37.2,43.564,42.887,46.423,48.632,41.538,42.991,47.64
Luxembourg,34.722,37.408,42.45,50.959,56.114,51.501,53.312,60.06,56.709,61.759,66.209,57.233,58.985,62.441
Malta,6.049,6.402,6.79,7.944,9.02,8.55,8.757,9.511,9.215,10.154,11.302,10.701,11.446,12.754
Montenegro,2.072,2.262,2.724,3.686,4.567,4.17,4.147,4.543,4.09,4.466,4.595,4.055,4.376,4.854
Netherlands,657.862,686.202,733.953,848.656,952.491,870.278,848.133,904.915,839.436,877.198,892.397,765.65,783.852,832.239
North Macedonia ,5.684,6.257,6.86,8.337,9.912,9.4,9.415,10.659,9.751,10.824,11.378,10.067,10.686,11.307
Norway,264.356,308.722,345.423,401.085,462.552,386.62,429.131,498.832,510.229,523.502,499.338,386.663,371.345,399.489
Poland,255.284,306.145,344.759,429.473,533.8,440.14,479.161,528.571,500.846,524.399,545.284,477.568,471.843,526.594
Portugal,189.386,197.624,208.741,240.502,263.249,244.364,238.748,245.119,216.488,226.144,229.995,199.521,206.361,219.748
Romania,76.217,99.699,123.534,174.589,214.317,174.102,166.225,183.443,171.196,190.948,199.628,177.895,188.495,211.407
Serbia,24.743,27.496,32.602,43.395,52.094,45.156,41.369,49.28,43.3,48.394,47.062,39.629,40.63,44.12
Slovak Republic,43.121,49.048,57.402,77.105,97.03,89.171,89.668,98.271,93.466,98.509,101.109,87.814,89.885,95.809
Slovenia,34.504,36.401,39.621,48.167,55.853,50.372,48.103,51.338,46.378,48.131,49.969,43.124,44.66,48.553
Spain,1070.678,1159.151,1265.607,1481.393,1642.765,1502.901,1434.286,1489.431,1336.759,1362.28,1379.098,1199.688,1238.01,1316.951
Sweden,382.154,389.489,420.538,488.4,514.585,430.113,488.909,563.797,544.482,579.361,574.413,498.118,512.205,535.607
Turkey,404.853,501.163,550.796,675.01,764.643,644.47,772.29,832.497,873.696,950.328,934.075,859.449,863.39,851.521
United Kingdom,2404.7,2527.843,2700.951,3085.3,2934.747,2403.357,2455.309,2635.799,2677.082,2755.356,3036.31,2897.06,2669.107,2639.974
